0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.01
0.01,0.01,1.00
0.01,0.00,1.01
0.01,0.00,1.00
0.01,0.01,1.01
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.01,1.01
0.01,0.01,1.00
0.01,0.01,1.01
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.01,0.00,1.00
0.01,0.00,1.00
0.01,0.01,1.00
0.02,0.01,0.99
0.02,0.01,0.99
0.02,0.03,0.96
0.01,0.01,1.01
0.04,0.09,1.00
0.00,0.04,1.02
0.01,0.07,1.01
0.02,0.01,1.00
0.01,-0.01,1.00
-0.01,-0.01,1.00
-0.04,0.01,1.01
-0.04,-0.11,1.00
-0.02,-0.11,1.00
0.01,0.01,1.00
0.01,0.00,1.01
0.01,0.01,1.00
0.03,0.12,1.01
0.17,0.04,0.99
0.74,-0.09,1.02
-0.22,-0.04,1.00
-0.01,-0.01,1.01
0.29,-0.06,1.02
0.18,-0.00,1.17
0.07,0.12,1.27
0.12,0.02,1.13
0.05,-0.03,1.04
0.04,-0.02,1.07
0.05,0.05,1.07
0.13,0.04,1.02
0.13,0.02,0.98
0.11,0.09,0.98
0.17,0.00,0.91
0.20,0.01,0.90
0.25,0.03,0.83
0.25,-0.02,0.96
0.29,-0.03,0.94
0.32,0.00,0.89
0.30,-0.03,0.94
0.27,0.04,0.94
0.26,-0.04,0.97
0.31,0.05,0.89
0.27,-0.11,0.85
0.26,-0.02,0.85
0.14,0.06,0.85
0.15,0.07,0.85
0.16,0.10,0.84
0.23,-0.07,0.92
0.27,0.05,0.91
0.25,0.05,0.83
0.29,0.02,0.94
0.27,-0.03,1.04
0.15,-0.03,1.04
0.01,0.03,1.03
-0.06,0.03,1.06
-0.05,0.01,1.13
-0.04,0.06,1.22
-0.26,0.08,0.85
-0.11,0.09,1.03
0.03,0.06,1.02
0.10,-0.01,1.00
0.11,-0.07,1.01
-0.00,0.02,0.99
0.17,0.02,1.03
0.13,0.01,0.91
0.10,-0.00,1.02
0.11,0.03,1.06
0.22,0.02,1.02
0.28,-0.02,0.96
0.25,-0.04,0.97
